"Micky Maus",1961,1962,1971,1974,1975,1976,1977,1978,1979,1981,1982,1983,1984,1985,1986,1987,1988,1989
1,,,,,,,,,"B",,,,"C",,"A",,,
2,,,,,,,,,,,,,,"A","B",,,
3,,,,,,,,,"B","A",,,,,,"A",,
4,,,,,,,,,,"A",,,,"B",,"A",,
5,,,,,,,,,"A","B",,,,,"B","2xA",,
6,,,,,,,,,"A","A",,,,,,,,
7,,,,,,,,,"A","A",,,,,,,"B",
8,,,,,,,,,"C","A",,"B","B","B",,"B",,
9,,,,,,,,,"A","A",,,,"B","2x B",,,
10,,,,,,,,,,"A","C",,"A",,,,,
11,,,,,,,,,,"A",,"A","A;B",,,"B",,
12,,,,,,,,,,"A",,,,,,,,
13,,,,,,,,,,"A",,,,,,"B",,
14,,,,,,,,"B",,"A","B",,,,"A","A",,
15,,,,,,,,,,"A",,,,,,,,
16,,,,,,,,,,"A",,,"A;B","A",,"3xA",,"A"
17,,,,,,,,,,"A",,,,,,,,
18,"F",,,,,,,"A",,"B",,"B",,"A",,,,
19,,,,,,,,"A",,"B",,,,,,,,
20,,,,,,,,"A",,"B",,,,,"B",,,
21,,,,,,,,,,"C",,,,,,,,
22,,,,,,,,"A",,"A",,,"C",,,,,
23,,,,,,,"A",,,"B",,,,,,,,
24,,,,,,,,,,"A",,"C",,,,,,
25,,,,,,,,,,"A",,,,,,,,
26,,,,,,,,,,"A",,,"B",,,,"B",
27,,,,"C","B",,,,,"A",,,,,,,,
28,,,,,,,,,,"A",,,,"A","A",,,
29,,"C",,,,,,,,"A",,,,,,,,
30,," ",,,,,"B",,,"A",,"B",,,,"A",,
31,,,,,,"E-F","A",,,"A",,,,,,,,
32,,,,,,,,,,"A","A",,,,,,,"A"
33,,,,,,,,,,"A","A","B",,,,"B",,
34,,,,,,,,,,"A","A",,"B",,"A","2xSH",,
35,,,,,,,,"A",,,"A","B",,,,"A",,
36,,,,,,,,"A",,,"A",,,,,,,
37,,,"A",,,,,,,"A","B",,,,,,"B",
38,,,,"C",,,,"A",,,"A",,,,,,,
39,,,,,,,,"B",,"A","A",,,,,,,
40,,,,,,,,,,,"A",,"C",,"C",,,
41,,,,,,,,"A",,"A","A",,,,,,,
42,,,,,,,,,,,,"B;E",,,,,,
43,,,,,,,,"A",,,"A","A;A",,,,,,
44,,,,,,,,,,,"A",,,,,,,
45,,,,,,,,,,,,,,,"A",,,
46,,,,,,,,,,,"A","E",,,,,,
47,,,,,,,,,,,,,,,"A",,,
48,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,"B",
50,,,,,,,,"A",,,"A",,,,,"B",,
51,,,,,,,,"A",,,,,,"A",,,"B",
52,,,,,,,,"A",,,,,,,,"C",,
