"Micky Maus",1961,1962,1971,1974,1975,1976,1977,1978,1979,1981,1982,1983,1984,1985,1986,1987,1988,1989
1,,,,,,,,,"B",,,,,,,,,
2,,,,,,,,,,,,,,,"B",,,
3,,,,,,,,,"B","A",,,,,,"A",,
4,,,,,,,,,,"A",,,,,,"A",,
5,,,,,,,,,"A","B",,,,,"B","2xA",,
6,,,,,,,,,"A","A",,,,,,,,
7,,,,,,,,,"A","A",,,,,,,"B",
8,,,,,,,,,"C","A",,,,,,"B",,
9,,,,,,,,,"A","A",,,,,"2x B",,,
10,,,,,,,,,,"A","C",,"A",,,,,
11,,,,,,,,,,"A",,,"A",,,"B",,
12,,,,,,,,,,"A",,,,,,,,
13,,,,,,,,,,"A",,,,,,"B",,
14,,,,,,,,"B",,"A",,,,,,"A",,
15,,,,,,,,,,"A",,,,,,,,
16,,,,,,,,,,"A",,,"A","A",,"3xA",,"A"
17,,,,,,,,,,"A",,,,,,,,
18,"F",,,,,,,"A",,"B",,,,"A",,,,
19,,,,,,,,"A",,"B",,,,,,,,
20,,,,,,,,"A",,"B",,,,,"B",,,
21,,,,,,,,,,"C",,,,,,,,
22,,,,,,,,"A",,"A",,,"C",,,,,
23,,,,,,,"A",,,"B",,,,,,,,
24,,,,,,,,,,"A",,"C",,,,,,
25,,,,,,,,,,"A",,,,,,,,
26,,,,,,,,,,"A",,,"B",,,,"B",
27,,,,"C","B",,,,,"A",,,,,,,,
28,,,,,,,,,,"A",,,,,,,,
29,,"C",,,,,,,,"A",,,,,,,,
30,," ",,,,,"B",,,"A",,,,,,"A",,
31,,,,,,"E-F","A",,,"A",,,,,,,,
32,,,,,,,,,,"A","A",,,,,,,"A"
33,,,,,,,,,,"A","A",,,,,,,
34,,,,,,,,,,"A","A",,,,,"SH",,
35,,,,,,,,"A",,,"A",,,,,"A",,
36,,,,,,,,"A",,,"A",,,,,,,
37,,,"A",,,,,,,"A","B",,,,,,"B",
38,,,,"C",,,,"A",,,"A",,,,,,,
39,,,,,,,,"B",,"A","A",,,,,,,
40,,,,,,,,,,,"A",,,,"C",,,
41,,,,,,,,"A",,"A","A",,,,,,,
42,,,,,,,,,,,,"E",,,,,,
43,,,,,,,,"A",,,"A","A",,,,,,
44,,,,,,,,,,,"A",,,,,,,
45,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,"A","E",,,,,,
47,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,
50,,,,,,,,"A",,,"A",,,,,"B",,
51,,,,,,,,"A",,,,,,,,,,
52,,,,,,,,"A",,,,,,,,"C",,
